,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,_product_websites,store,websites,commercant,,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
x,MPB17-AUL-1130,57,Poivron vert,Activé,0,kg,4.95 €,L'unité environ 260g,0.260,1,1.29 €,4.95 €/kg,5,0.20,0.98 €,PBP17-poivronvert.jpg,PBP17-poivronvert.jpg,PBP17-poivronvert.jpg,Poivron vert,Poivron vert,Poivron vert,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,6789,,,,Espagne,,Non,"Symbole d’été, de vacances et de grillades, le poivron arbore ses couleurs joyeuses sur les marchés. Légume-fruit comme la tomate, il s’intègre facilement dans toutes les recettes gorgées de soleil… Peu calorique, il est également apprécié pour ses vitamines",,,,0.260,,Poivron vert - Au Pas De Courses,"Poivron vert - Pascal Bassard Primeur - L'unité environ 260g - Symbole d’été, de vacances et de grillades, le poivron arbore ses couleurs joyeuses sur les march",MPB17-AUL-1156,re::^MPB17-AUL,
x,MPB17-AGR-1133,32,Pomelos rose de Floride,Activé,1,pièce,1.95 €,La pièce (400g environ),,1,1.95 €,1.95 €/pièce,5,0.20,1.48 €,PBP17-pomelos.jpg,PBP17-pomelos.jpg,PBP17-pomelos.jpg,Pomelos rose de Floride,Pomelos rose de Floride,Pomelos rose de Floride,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Agrumes,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Agrumes;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,12345,,,,USA Floride,,Non,"Calibre 32 - Découvert il y a près de 200 ans, le pomelo est le seul agrume à ne pas être originaire d’Asie. Grâce à sa texture juteuse et gourmande, il a très vite conquis les États-Unis puis l’Europe. Cultivé sous les climats chauds, le pomelo est encore récolté de façon traditionnelle, à la main. Présent tout l’hiver et au printemps, cet agrume dynamise le quotidien grâce à sa richesse en vitamines et minéraux, et sa saveur généreuse.",,,,0.000,,Pomelos rose de Floride - Au Pas De Courses,"Pomelos rose de Floride - Pascal Bassard Primeur - La pièce (400g environ) - Calibre 32 - Découvert il y a près de 200 ans, le pomelo est le seul agrume à ne pa",MPB17-AGR-1095,re::^MPB17-AGR,
x,MPB17-PEP-1020,111,Pomme Belle de Boskoop,Activé,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,belleboskoop.jpg,belleboskoop.jpg,belleboskoop.jpg,Pomme Belle de Boskoop,Pomme Belle de Boskoop,Pomme Belle de Boskoop,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,12ND,,,,France,,Non,"La belle de Boskoop est une variété de pomme qui, comme son nom l'indique, est originaire de Boskoop aux Pays-Bas où elle naquit en 1856. Synonymes : Reinette de Montfort, Goldreinette, Reinette de Montreuse. Il en existe de nombreuses variantes : Boskoop rouge, jaune ou verte.","La Belle de Boskoop est idéale pour les cuissons car très résistante,c'est aussi la pomme parfaite pour les tartes ou simplement à croquer, du fait de son acidité et parfum caractéristiques.",,,1.000,,Pomme Belle de Boskoop - Au Pas De Courses,"Pomme Belle de Boskoop - Pascal Bassard Primeur - Le kilo - La belle de Boskoop est une variété de pomme qui, comme son nom l'indique, est originaire de Boskoop",,"re::^MPB17-PEP,re::^MPB17-RAI",
x,MPB17-PEP-1027,157,Pomme Canada,Activé,0,kg,3.95 €,Le kilo,1.000,1,3.95 €,3.95 €/kg,5,0.20,3.00 €,PBP17-canada.jpg,PBP17-canada.jpg,PBP17-canada.jpg,Pomme Canada,Pomme Canada,Pomme Canada,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123ND,,,,France,,Non,"Malgré son nom, la Reinette du Canada est un cultivar de pommier domestique originaire d'Angleterre où elle apparut vers 1800 sous le nom de « Golden russet ». Fruit croquant et légèrement acidulé, la Pomme Canada appelé aussi Reinette grise est une variété très ancienne. Une bonne vieille pomme d'hiver familière des étals de marché de novembre à mars. ",La Reinette Canada Grise est la pomme idéale pour faire des pommes au four et des compotes. C'est également une bonne pomme à croquer.,,,1.000,,Pomme Canada - Au Pas De Courses,"Pomme Canada - Pascal Bassard Primeur - Le kilo - Malgré son nom, la Reinette du Canada est un cultivar de pommier domestique originaire d'Angleterre où elle ap",,"re::^MPB17-PEP,re::^MPB17-RAI",
,MPB17-PEP-1035,29,Pomme Chantecler,Activé,0,kg,3.95 €,"Les 500g, environ 2 pièces",0.500,1,1.98 €,3.95 €/kg,5,0.20,1.50 €,PBP17-chanteclerc.jpg,PBP17-chanteclerc.jpg,PBP17-chanteclerc.jpg,Pomme Chantecler,Pomme Chantecler,Pomme Chantecler,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123456OND,,,,France,,Non,"Sa chair fine et fondante dégage une saveur à la fois sucrée et acidulée, très aromatique.Elle a une forme légèrement aplatie et une robe très caractéristique, jaune or, un peu rugueuse et parsemée de lenticelles qui lui donne un aspect rustique.On la déguste d’octobre à juin.",,,,0.500,,Pomme Chantecler - Au Pas De Courses,"Pomme Chantecler - Pascal Bassard Primeur - Les 500g, environ 2 pièces - Sa chair fine et fondante dégage une saveur à la fois sucrée et acidulée, très aromatiq",,re::^MPB17-PEP,
x,MPB17-PDT-1058,66,Pomme de terre Bintje,Activé,0,kg,1.20 €,Les 500g,0.500,1,0.60 €,1.2 €/kg,5,0.20,0.45 €,POMME_DE_TERRE_CHARLOTTE__64.jpg,POMME_DE_TERRE_CHARLOTTE__64.jpg,POMME_DE_TERRE_CHARLOTTE__64.jpg,Pomme de terre Bintje,Pomme de terre Bintje,Pomme de terre Bintje,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Pommes de Terre,,Oui,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Pommes de Terre;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123456789OND,,,,France,Chair tendre,Non,La bintje fut longtemps la pomme de terre la plus cultivée en Europe.,"Elle est très appréciée pour la fabrication des frites et la purée, mais est très polyvalente: même si ce n'est pas toujours la variété optimale, elle convient aussi bien pour la bouillir, rôtir, frire, pour la soupe, le gratin et la purée mais moins pour la salade.",,,0.500,,Pomme de terre Bintje - Au Pas De Courses,Pomme de terre Bintje - Pascal Bassard Primeur - Les 500g - La bintje fut longtemps la pomme de terre la plus cultivée en Europe.,,"re::^MPB17-OAE,re::^MPB17-PDT",
x,MPB17-PDT-1201,64,Pomme de Terre Charlotte,Activé,0,kg,1.95 €,Les 500g,0.500,1,0.98 €,1.95 €/kg,5,0.20,0.74 €,PBP17-Bintje.jpg,PBP17-Bintje.jpg,PBP17-Bintje.jpg,Pomme de Terre Charlotte,Pomme de Terre Charlotte,Pomme de Terre Charlotte,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Pommes de Terre,,Oui,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Pommes de Terre;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123456789OND,,,,France,Chair ferme,Non,"La Charlotte est une variété de pomme de terre créée en France et mise sur le marché en 1981. Elle a donc été sous licence jusqu'en 2011, mais depuis cette date son utilisation est libre. De forme oblongue, elle a la peau fine et la chair ferme. C'est la variété à chair ferme la plus cultivée en France.","D'une excellente tenue à la cuisson, on peut la cuire à la vapeur, la sauter mais non la rôtir.",,,0.500,,Pomme de Terre Charlotte - Au Pas De Courses,Pomme de Terre Charlotte - Pascal Bassard Primeur - Les 500g - La Charlotte est une variété de pomme de terre créée en France et mise sur le marché en 1981. Ell,,"re::^MPB17-OAE,re::^MPB17-PDT",
x,MPB17-PDT-1200,11,Pomme de Terre Grenaille,Activé,0,kg,5.95 €,Les 500g,0.500,1,2.98 €,5.95 €/kg,5,0.20,2.26 €,PBP17-grenaille.jpg,PBP17-grenaille.jpg,PBP17-grenaille.jpg,Pomme de Terre Grenaille,Pomme de Terre Grenaille,Pomme de Terre Grenaille,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Pommes de Terre,,Oui,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Pommes de Terre;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123456789OND,,,,France,,Non,"Le terme ""grenaille"" ne désignant qu'un calibre, cette pomme de terre peut être issue de différentes variétés, parmi elles : la ratte, la chérie, la charlotte, l'anoé ou encore la princesse amandine.","Les pommes de terre grenaille, rôties, sautées à la poêle ou cuites au four enrobées d'un filet d'huile d'olive, d'ail en chemise, de thym ou de romarin frais, se servent avec du rôti ou un poisson blanc.",,,0.500,,Pomme de Terre Grenaille - Au Pas De Courses,"Pomme de Terre Grenaille - Pascal Bassard Primeur - Les 500g - Le terme ""grenaille"" ne désignant qu'un calibre, cette pomme de terre peut être issue de différen",,"re::^MPB17-OAE,re::^MPB17-PDT",
x,MPB17-PEP-1071,39,Pomme Golden rosée,Activé,0,kg,3.50 €,"Les 500g, environ 2 pommes
",0.500,1,1.75 €,3.5 €/kg,5,0.20,1.33 €,PBP17-golden.jpg,PBP17-golden.jpg,PBP17-golden.jpg,Pomme Golden rosée,Pomme Golden rosée,Pomme Golden rosée,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,1234OND,,,,France,,Non,"La Golden Rosée
 présente un équilibre parfait entre acidité et sucre, ce qui en fait 
une pomme de dégustation, autant qu’un délicieux fruit à cuisiner salé 
ou sucré, avec une très belle tenue en cuisson.",,,,0.500,,Pomme Golden rosée - Au Pas De Courses,"Pomme Golden rosée - Pascal Bassard Primeur - Les 500g, environ 2 pommes
 - La Golden Rosée
 présente un équilibre parfait entre acidité et sucre, ce qui en fai",,"re::^MPB17-PEP,re::^MPB17-RAI",
,MPB17-PEP-1072,379,Pomme Goldrush,Activé,0,kg,3.95 €,Le kilo,1.000,1,3.95 €,3.95 €/kg,5,0.20,3.00 €,PBP17-goldrush.jpg,PBP17-goldrush.jpg,PBP17-goldrush.jpg,Pomme Goldrush,Pomme Goldrush,Pomme Goldrush,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123OND,,,,France,,Non,,,,,1.000,,Pomme Goldrush - Au Pas De Courses,Pomme Goldrush - Pascal Bassard Primeur - Le kilo - ,,re::^MPB17-PEP,
x,MPB17-PEP-1073,37,Pomme Granny Smith,Activé,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,PBP17-grannysmith.jpg,PBP17-grannysmith.jpg,PBP17-grannysmith.jpg,Pomme Granny Smith,Pomme Granny Smith,Pomme Granny Smith,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,123OND,,,,France,,Non,"La Granny Smith est un cultivar de pomme très populaire apparu en Australie en 1868 suite à un « semis chanceux » réalisé par une vieille dame, Marie Ana Smith (granny signifie « grand-mère »). En France, c'est la troisième pomme la plus cultivée",,,,1.000,,Pomme Granny Smith - Au Pas De Courses,Pomme Granny Smith - Pascal Bassard Primeur - Le kilo - La Granny Smith est un cultivar de pomme très populaire apparu en Australie en 1868 suite à un « semis c,,"re::^MPB17-PEP,re::^MPB17-RAI",
,MPB17-PEP-1134,380,Pomme Patte de loup,Activé,1,kg,5.95 €,Le kilo,1.000,1,5.95 €,5.95 €/kg,5,0.20,4.51 €,PBP17-pommepattedeloup.jpg,PBP17-pommepattedeloup.jpg,PBP17-pommepattedeloup.jpg,Pomme Patte de loup,Pomme Patte de loup,Pomme Patte de loup,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,ND,,,,,,Non,"La pomme Patte de loup doit son nom à la marque caractéristique qu'elle porte sur ses fruits. Cette variété ancienne est connue depuis le Moyen Âge est connue pour avoir été la variété préférée d'Anne de Bretagne. 
Sa chair est très ferme et son goût incomparable lorsqu’elle est bien mûre, est à la fois sucré et acidulé, proche des pommes que vous pouvez trouver dans vos vergers rustiques à la campagne.",,,,1.000,,Pomme Patte de loup - Au Pas De Courses,Pomme Patte de loup - Pascal Bassard Primeur - Le kilo - La pomme Patte de loup doit son nom à la marque caractéristique qu'elle porte sur ses fruits. Cette var,,,
,MPB17-PEP-1125,158,Pomme Pink Lady,Activé,0,kg,3.95 €,"Les 500g, environ 2 pièces
",0.500,1,1.98 €,3.95 €/kg,5,0.20,1.50 €,PBP17-pinklady.jpg,PBP17-pinklady.jpg,PBP17-pinklady.jpg,Pomme Pink Lady,Pomme Pink Lady,Pomme Pink Lady,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,1234OND,,,,France,,Non,,,,,0.500,,Pomme Pink Lady - Au Pas De Courses,"Pomme Pink Lady - Pascal Bassard Primeur - Les 500g, environ 2 pièces
 - ",,re::^MPB17-PEP,
,MPB17-PEP-1141,381,Pomme Reinette d'Armorique,Activé,0,kg,4.50 €,Le kilo,1.000,1,4.50 €,4.5 €/kg,5,0.20,3.41 €,PBP17-reinettearmorique.jpg,PBP17-reinettearmorique.jpg,PBP17-reinettearmorique.jpg,Pomme Reinette d'Armorique,Pomme Reinette d'Armorique,Pomme Reinette d'Armorique,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Oui,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires;;Primeur/Pascal Bassard Primeur/Fruits et légumes de saison,,23456,,,,France,,Non,Variété ancienne,,,,1.000,,Pomme Reinette d'Armorique - Au Pas De Courses,Pomme Reinette d'Armorique - Pascal Bassard Primeur - Le kilo - Variété ancienne,,,
x,MPB17-PEP-1095,318,Pomme Rubinette,Activé,0,kg,3.95 €,Le kilo,1.000,1,3.95 €,3.95 €/kg,5,0.20,3.00 €,PBP17-Rubinette.jpg,PBP17-Rubinette.jpg,PBP17-Rubinette.jpg,Pomme Rubinette,Pomme Rubinette,Pomme Rubinette,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,129OND,,,,France,,Non,"Pomme à la chair ferme, juteuse et croquante, la Rubinette n'est ni trop sucrée ni trop acide. Parfois appelé Golden Delicious, elle vous accompagne tout l'hiver. Elle est la cousine de la Reinette qu'elle remplace en fin de saison.",,,,1.000,,Pomme Rubinette - Au Pas De Courses,"Pomme Rubinette - Pascal Bassard Primeur - Le kilo - Pomme à la chair ferme, juteuse et croquante, la Rubinette n'est ni trop sucrée ni trop acide. Parfois appe",,"re::^MPB17-PEP,re::^MPB17-RAI",
,MPB17-PEP-1135,,Pomme Saint Aubin,Activé,1,kg,5.95 €,Le kilo,1.000,1,5.95 €,5.95 €/kg,5,0.20,4.51 €,PBP17-pommesaintaubin.jpg,PBP17-pommesaintaubin.jpg,PBP17-pommesaintaubin.jpg,Pomme Saint Aubin,Pomme Saint Aubin,Pomme Saint Aubin,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,ND,,,,,,Non,La pomme Saint Aubin est une variété ancienne proche de la Canada dans sa texture. Une délicieuse pomme à couteau ou à compote.,,,,1.000,,Pomme Saint Aubin - Au Pas De Courses,Pomme Saint Aubin - Pascal Bassard Primeur - Le kilo - La pomme Saint Aubin est une variété ancienne proche de la Canada dans sa texture. Une délicieuse pomme à,,"re::^MPB17-PEP,re::^MPB17-RAI",
,MPB17-PEP-1137,,Pomme Gradyel,Activé,1,kg,3.95 €,Le kilo,1.000,1,3.95 €,3.95 €/kg,5,0.20,3.00 €,PBP17-pommegaridel.jpg,PBP17-pommegaridel.jpg,PBP17-pommegaridel.jpg,Pomme Gradyel,Pomme Gradyel,Pomme Gradyel,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,ND,,Mouneyrac,http://www.mouneyracfreres.com/,France,,Non,"La pomme Gradyel est une nouvelle variété de pomme lancée par la coopérative “Les balcons du Pilat” dans la Loire. Croisement d'une variété rose tardive et d'une pomme Golden, elle est très juteuse et sa légère acidité est relevée par une bonne note sucrée.",,,,1.000,,Pomme Gradyel - Au Pas De Courses,Pomme Gradyel - Pascal Bassard Primeur - Le kilo - La pomme Gradyel est une nouvelle variété de pomme lancée par la coopérative “Les balcons du Pilat” dans la L,,"re::^MPB17-PEP,re::^MPB17-RAI",
,MPB17-PEP-1136,,Pomme Sainte Germaine,Activé,1,kg,4.95 €,Le kilo,1.000,1,4.95 €,4.95 €/kg,5,0.20,3.75 €,PBP17-pommestgermaine.jpg,PBP17-pommestgermaine.jpg,PBP17-pommestgermaine.jpg,Pomme Sainte Germaine,Pomme Sainte Germaine,Pomme Sainte Germaine,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Pommes & Poires,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Pommes & Poires,,ND,,,,,,Non,La pomme Sainte Germaine de l'Estre est une pomme remarquable pour sa texture et son goût. Une délicieuse pomme à couteau à déguster en repas.,,,,1.000,,Pomme Sainte Germaine - Au Pas De Courses,Pomme Sainte Germaine - Pascal Bassard Primeur - Le kilo - La pomme Sainte Germaine de l'Estre est une pomme remarquable pour sa texture et son goût. Une délici,,,
x,MPB17-AUL-1135,240,Potimarron,0,0,pièce,3.95 €,"La pièce, environ 1,5kg",1.500,1,3.95 €,3.95 €/pièce,5,0.20,3.00 €,PBP17-potimarron.jpg,PBP17-potimarron.jpg,PBP17-potimarron.jpg,Potimarron,Potimarron,Potimarron,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,789O,,,,France,,Non,"Les potimarrons sont un groupe de cultivars du potiron, d'origine d'Amérique du Sud. Il aurait été introduit au Japon par des navigateurs portugais, d'où il aurait gagné l'Europe très tardivement (une famille japonaise aurait apporté ce légume en France en 1957). Le potimarron était d'ailleurs appelé autrefois ""potiron doux d'Hokkaido"".",,,,1.500,,Potimarron - Au Pas De Courses,"Potimarron - Pascal Bassard Primeur - La pièce, environ 1,5kg - Les potimarrons sont un groupe de cultivars du potiron, d'origine d'Amérique du Sud. Il aurait é","MPB17-AUL-1025,MPB17-AUL-1121","MPB17-AUL-1026,re::^PB17-PDT",
,MPB17-AUL-1136,124,Potiron,Activé,0,kg,1.95 €,Le quart de pièce environ 2kg,2.000,1,3.90 €,1.95 €/kg,5,0.20,2.96 €,PBP17-potiron.jpg,PBP17-potiron.jpg,PBP17-potiron.jpg,Potiron,Potiron,Potiron,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Autres Légumes,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Autres Légumes,,1OND,,,,,,Non,"Symbole d’automne, le potiron est originaire d’Amérique du Sud. Très présent dans les jardins d’antan, il redevient populaire depuis plusieurs années. Ses couleurs, sa forme et ses saveurs se marient à merveille avec tous les plats, traditionnels ou audacieux. Les enfants l’adorent.",,,,2.000,,Potiron - Au Pas De Courses,"Potiron - Pascal Bassard Primeur - Le quart de pièce environ 2kg - Symbole d’automne, le potiron est originaire d’Amérique du Sud. Très présent dans les jardins",,,
,MPB17-FSE-1139,,"Pruneaux d'Agen, qualité Extra",Activé,0,piece,3.95 €,La barquette de 200g environ,0.200,1,3.95 €,3.95 €/piece,5,0.20,3.00 €,PBP17-pruneauxmoelleux.jpg,PBP17-pruneauxmoelleux.jpg,PBP17-pruneauxmoelleux.jpg,"Pruneaux d'Agen, qualité Extra","Pruneaux d'Agen, qualité Extra","Pruneaux d'Agen, qualité Extra",apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Fruits secs,,,Non,Primeur/Pascal Bassard Primeur/Fruits secs,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Fruits secs,,,,,,France,,Non,,,,,0.200,,"Pruneaux d'Agen, qualité Extra - Au Pas De Courses","Pruneaux d'Agen, qualité Extra - Pascal Bassard Primeur - La barquette de 200g environ - ",,"re::^MPB17-EPI,re::^MPB17-FSE,re::^FDB17-PER,re::^FDB17-HUI",
x,MPB17-LRA-1139,201,Radis noir,Activé,0,pièce,1.95 €,L'unité,,1,1.95 €,1.95 €/pièce,5,0.20,1.48 €,PBP17-radisnoir.jpg,PBP17-radisnoir.jpg,PBP17-radisnoir.jpg,Radis noir,Radis noir,Radis noir,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les légumes,Légumes Racines,,Non,Primeur/Pascal Bassard Primeur/Tous les légumes,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les légumes/Légumes Racines,,9OND,,,,France,,Non,Le radis noir ou radis d’hiver est un légume racine absolument délicieux au goût légèrement piquant.,,,,0.000,,Radis noir - Au Pas De Courses,Radis noir - Pascal Bassard Primeur - L'unité - Le radis noir ou radis d’hiver est un légume racine absolument délicieux au goût légèrement piquant.,,re::^MPB17-LRA,
x,MPB17-RAI-1009,171,Raisin blanc Thomson sans pépins,Activé,0,kg,6.95 €,Le kilo,1.000,1,6.95 €,6.95 €/kg,5,0.20,5.27 €,PBP17-raisinthomson.jpg,PBP17-raisinthomson.jpg,PBP17-raisinthomson.jpg,Raisin blanc Thomson sans pépins,Raisin blanc Thomson sans pépins,Raisin blanc Thomson sans pépins,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Raisin,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Raisin,,9O,,,,Chili,,Non,"La variété centennial présente des qualités gustatives exceptionnelles : avec une peau très fine, un grain charnu et sucré, un pépin inexistant, ce raisin blanc est un régal pour les papilles. Alors que nos voisins européens en raffolent depuis de nombreuses années, il arrive tout juste sur nos tables.",,,,1.000,,Raisin blanc Thomson sans pépins - Au Pas De Courses,Raisin blanc Thomson sans pépins - Pascal Bassard Primeur - Le kilo - La variété centennial présente des qualités gustatives exceptionnelles : avec une peau trè,,"re::^MPB17-PEP,re::^MPB17-RAI",
,MPB17-RAI-1105,8,Raisin Moscatel,0,0,kg,29.95 €,Les 250g,0.250,1,7.49 €,29.95 €/kg,5,0.20,5.68 €,PBP17-moscatel.jpg,PBP17-moscatel.jpg,PBP17-moscatel.jpg,Raisin Moscatel,Raisin Moscatel,Raisin Moscatel,apdc_batignolles,"admin,batignolles",apdc_batignolles,Pascal Bassard Primeur,Tous les fruits,Raisin,,Non,Primeur/Pascal Bassard Primeur/Tous les fruits,Primeur/Pascal Bassard Primeur/Tous les produits;;Primeur/Pascal Bassard Primeur/Tous les fruits/Raisin,,9O,,,,Pérou,Extra,Non,"Le raisin Moscatel est un délice pour vos papilles. Raisin exceptionnel, il ravira les amateurs de raisin juteux, doux et gouteux.",,,,0.250,,Raisin Moscatel - Au Pas De Courses,"Raisin Moscatel - Pascal Bassard Primeur - Les 250g - Le raisin Moscatel est un délice pour vos papilles. Raisin exceptionnel, il ravira les amateurs de raisin ",,re::^MPB17-PEP,
